backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
/1Dbyo3SeIcaK8KgYO2sfWygdNak.jpg,"[35, 27, 14]",928,en,Gremlins 2: The New Batch,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!",38.359,/jN7yvxnIHRozhq2mzWZDE5GPRc0.jpg,1990-06-15,Gremlins 2: The New Batch,False,6.4,2366
/oUNAGuc28xNxeUg2NpXuT3qKup0.jpg,[18],11005,en,Awakenings,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",38.673,/9gztZXuHLG6AJ0fgqGd7Q43cWRI.jpg,1990-12-04,Awakenings,False,7.8,2349
/mbtvyCr73zTz45lANjURpKu493l.jpg,[35],951,en,Kindergarten Cop,"Hard-edged cop John Kimble gets more than he bargained for when he goes undercover as a kindergarten teacher to get the goods on a brutal drug lord while at the same time protecting the man's young son. Pitted against a class of boisterous moppets whose antics try his patience and test his mettle, Kimble may have met his match … in more ways than one.",9.199,/nKnHWwkXyvhzCYWm3FyRAv3qBrl.jpg,1990-12-21,Kindergarten Cop,False,6.1,2331
/ciXTaqQgLglDfDB5MIBYZOhMXUs.jpg,"[28, 53]",9322,fr,Nikita,"A beautiful felon, sentenced to life in prison for the murder of a policeman, is given a second chance – as a secret political assassin controlled by the government.",17.895,/1ulQDewUG4KKHOhpXdGKm3GdLFq.jpg,1990-02-21,La Femme Nikita,False,7.1,1798
/cT0YCYCtAQC8wi56VWK1JRGgk3a.jpg,"[28, 12, 80, 878, 53]",5549,en,RoboCop 2,"After a successful deployment of the RoboCop Law Enforcement unit, OCP sees its goal of urban pacification come closer and closer, but as this develops, a new narcotic known as ""Nuke"" invades the streets led by God-delirious leader Cane. As this menace grows, it may prove to be too much for Murphy to handle. OCP tries to replicate the success of the first unit, but ends up with failed prototypes with suicidal issues... until Dr. Faxx, a scientist straying away from OCP's path, uses Cane as the new subject for the RoboCop 2 project, a living God.",26.318,/99l6Jt3ygKKmv7K8D6jdLz33tcB.jpg,1990-06-22,RoboCop 2,False,6.0,1733
/aYcnDyLMnpKce1FOYUpZrXtgUye.jpg,"[80, 18, 53]",274,en,The Silence of the Lambs,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",12.265,/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,1991-02-14,The Silence of the Lambs,False,8.3,15436
/8UERCtJeV1nhnZZXvdWeg8WlYhW.jpg,"[28, 53, 878]",280,en,Terminator 2: Judgment Day,"Set ten years after the events of the original, James Cameron’s classic sci-fi action flick tells the story of a second attempt to get the rid of rebellion leader John Connor, this time targeting the boy himself. However, the rebellion has sent a reprogrammed terminator to protect Connor.",63.731,/5M0j0B18abtBI5gi2RhfjjurTqb.jpg,1991-07-03,Terminator 2: Judgment Day,False,8.1,12066
/g38W2qmTlpFog1TAnT86FOOLBFT.jpg,"[10749, 10751, 16, 14]",10020,en,Beauty and the Beast,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",73.262,/hUJ0UvQ5tgE2Z9WpfuduVSdiCiU.jpg,1991-10-22,Beauty and the Beast,False,7.7,9457
/sEX84iA2r9LNLG6qowLTT6oqtzK.jpg,"[12, 14, 35, 10751]",879,en,Hook,"The boy who wasn't supposed to grow up—Peter Pan—does just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. During his trip to see Granny Wendy in London, the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland.",28.283,/a6rB1lGXoGms7gWxRfJneQmAjNV.jpg,1991-04-10,Hook,False,6.8,5034
/7OxGhxUYAdtuike29VMzEFxJx7y.jpg,"[35, 14]",2907,en,The Addams Family,"When a man claiming to be long-lost Uncle Fester reappears after 25 years lost, the family plans a celebration to wake the dead. But the kids barely have time to warm up the electric chair before Morticia begins to suspect Fester is fraud when he can't recall any of the details of Fester's life.",36.885,/qFf8anju5f2epI0my8RdwwIXFIP.jpg,1991-11-22,The Addams Family,False,7.0,4244
